"Country or Area";"Year";"Area";"Sex";"Age";"Record Type";"Reliability";"Source Year";"Value";"Value Footnotes"
"Poland";"2018";"Total";"Male";"39";"Estimate - de jure";"Final figure, complete";"2019";"302131";"1"
"Poland";"2018";"Total";"Male";"40";"Estimate - de jure";"Final figure, complete";"2019";"300057";"1"
"Poland";"2018";"Total";"Male";"40 - 44";"Estimate - de jure";"Final figure, complete";"2019";"1440130";"1"
"Poland";"2018";"Total";"Male";"41";"Estimate - de jure";"Final figure, complete";"2019";"300637";"1"
"Poland";"2018";"Total";"Male";"42";"Estimate - de jure";"Final figure, complete";"2019";"290422";"1"
"Poland";"2018";"Total";"Male";"43";"Estimate - de jure";"Final figure, complete";"2019";"280369";"1"
"Poland";"2018";"Total";"Male";"44";"Estimate - de jure";"Final figure, complete";"2019";"268645";"1"
"Poland";"2018";"Total";"Male";"45";"Estimate - de jure";"Final figure, complete";"2019";"258848";"1"
"Poland";"2018";"Total";"Male";"45 - 49";"Estimate - de jure";"Final figure, complete";"2019";"1200621";"1"
"Poland";"2018";"Total";"Male";"46";"Estimate - de jure";"Final figure, complete";"2019";"247017";"1"
"Poland";"2018";"Total";"Male";"47";"Estimate - de jure";"Final figure, complete";"2019";"239648";"1"
"Poland";"2018";"Total";"Male";"48";"Estimate - de jure";"Final figure, complete";"2019";"229712";"1"
"Poland";"2018";"Total";"Male";"49";"Estimate - de jure";"Final figure, complete";"2019";"225396";"1"
"Poland";"2018";"Total";"Male";"50";"Estimate - de jure";"Final figure, complete";"2019";"222386";"1"
"Poland";"2018";"Total";"Male";"50 - 54";"Estimate - de jure";"Final figure, complete";"2019";"1129057";"1"
"Poland";"2018";"Total";"Male";"51";"Estimate - de jure";"Final figure, complete";"2019";"222687";"1"
"Poland";"2018";"Total";"Male";"52";"Estimate - de jure";"Final figure, complete";"2019";"224350";"1"
"Poland";"2018";"Total";"Male";"53";"Estimate - de jure";"Final figure, complete";"2019";"228271";"1"
"Poland";"2018";"Total";"Male";"54";"Estimate - de jure";"Final figure, complete";"2019";"231363";"1"
"Poland";"2018";"Total";"Male";"55";"Estimate - de jure";"Final figure, complete";"2019";"232218";"1"
"Poland";"2018";"Total";"Male";"55 - 59";"Estimate - de jure";"Final figure, complete";"2019";"1252331";"1"
"Poland";"2018";"Total";"Male";"56";"Estimate - de jure";"Final figure, complete";"2019";"238330";"1"
"Poland";"2018";"Total";"Male";"57";"Estimate - de jure";"Final figure, complete";"2019";"249118";"1"
"Poland";"2018";"Total";"Male";"58";"Estimate - de jure";"Final figure, complete";"2019";"263253";"1"
"Poland";"2018";"Total";"Male";"59";"Estimate - de jure";"Final figure, complete";"2019";"269412";"1"
"Poland";"2018";"Total";"Male";"60";"Estimate - de jure";"Final figure, complete";"2019";"269890";"1"
"Poland";"2018";"Total";"Male";"60 - 64";"Estimate - de jure";"Final figure, complete";"2019";"1287505";"1"
"Poland";"2018";"Total";"Male";"61";"Estimate - de jure";"Final figure, complete";"2019";"264536";"1"
"Poland";"2018";"Total";"Male";"62";"Estimate - de jure";"Final figure, complete";"2019";"263030";"1"
"Poland";"2018";"Total";"Male";"63";"Estimate - de jure";"Final figure, complete";"2019";"248130";"1"
"Poland";"2018";"Total";"Male";"64";"Estimate - de jure";"Final figure, complete";"2019";"241919";"1"
"Poland";"2018";"Total";"Male";"65";"Estimate - de jure";"Final figure, complete";"2019";"233014";"1"
"Poland";"2018";"Total";"Male";"65 - 69";"Estimate - de jure";"Final figure, complete";"2019";"1044978";"1"
"Poland";"2018";"Total";"Male";"66";"Estimate - de jure";"Final figure, complete";"2019";"223078";"1"
"Poland";"2018";"Total";"Male";"67";"Estimate - de jure";"Final figure, complete";"2019";"209522";"1"
"Poland";"2018";"Total";"Male";"68";"Estimate - de jure";"Final figure, complete";"2019";"194549";"1"
"Poland";"2018";"Total";"Male";"69";"Estimate - de jure";"Final figure, complete";"2019";"184815";"1"
"Poland";"2018";"Total";"Male";"70";"Estimate - de jure";"Final figure, complete";"2019";"166811";"1"
"Poland";"2018";"Total";"Male";"70 - 74";"Estimate - de jure";"Final figure, complete";"2019";"600701";"1"
"Poland";"2018";"Total";"Male";"71";"Estimate - de jure";"Final figure, complete";"2019";"146340";"1"
"Poland";"2018";"Total";"Male";"72";"Estimate - de jure";"Final figure, complete";"2019";"101197";"1"
"Poland";"2018";"Total";"Male";"73";"Estimate - de jure";"Final figure, complete";"2019";"96234";"1"
"Poland";"2018";"Total";"Male";"74";"Estimate - de jure";"Final figure, complete";"2019";"90119";"1"
"Poland";"2018";"Total";"Male";"75";"Estimate - de jure";"Final figure, complete";"2019";"84304";"1"
"Poland";"2018";"Total";"Male";"75 - 79";"Estimate - de jure";"Final figure, complete";"2019";"408931";"1"
"Poland";"2018";"Total";"Male";"76";"Estimate - de jure";"Final figure, complete";"2019";"85767";"1"
"Poland";"2018";"Total";"Male";"77";"Estimate - de jure";"Final figure, complete";"2019";"84466";"1"
"Poland";"2018";"Total";"Male";"78";"Estimate - de jure";"Final figure, complete";"2019";"79681";"1"
"Poland";"2018";"Total";"Male";"79";"Estimate - de jure";"Final figure, complete";"2019";"74713";"1"
"Poland";"2018";"Total";"Male";"80";"Estimate - de jure";"Final figure, complete";"2019";"70318";"1"
"Poland";"2018";"Total";"Male";"80 - 84";"Estimate - de jure";"Final figure, complete";"2019";"293207";"1"
"Poland";"2018";"Total";"Male";"81";"Estimate - de jure";"Final figure, complete";"2019";"65479";"1"
"Poland";"2018";"Total";"Male";"82";"Estimate - de jure";"Final figure, complete";"2019";"59037";"1"
"Poland";"2018";"Total";"Male";"83";"Estimate - de jure";"Final figure, complete";"2019";"52153";"1"
"Poland";"2018";"Total";"Male";"84";"Estimate - de jure";"Final figure, complete";"2019";"46220";"1"
"Poland";"2018";"Total";"Male";"85";"Estimate - de jure";"Final figure, complete";"2019";"41930";"1"
"Poland";"2018";"Total";"Male";"85 - 89";"Estimate - de jure";"Final figure, complete";"2019";"157485";"1"
"Poland";"2018";"Total";"Male";"86";"Estimate - de jure";"Final figure, complete";"2019";"37208";"1"
"Poland";"2018";"Total";"Male";"87";"Estimate - de jure";"Final figure, complete";"2019";"32354";"1"
"Poland";"2018";"Total";"Male";"88";"Estimate - de jure";"Final figure, complete";"2019";"25594";"1"
"Poland";"2018";"Total";"Male";"89";"Estimate - de jure";"Final figure, complete";"2019";"20399";"1"
"Poland";"2018";"Total";"Male";"90";"Estimate - de jure";"Final figure, complete";"2019";"14910";"1"
"Poland";"2018";"Total";"Male";"90 - 94";"Estimate - de jure";"Final figure, complete";"2019";"46623";"1"
"Poland";"2018";"Total";"Male";"91";"Estimate - de jure";"Final figure, complete";"2019";"11362";"1"
"Poland";"2018";"Total";"Male";"92";"Estimate - de jure";"Final figure, complete";"2019";"9165";"1"
"Poland";"2018";"Total";"Male";"93";"Estimate - de jure";"Final figure, complete";"2019";"6343";"1"
"Poland";"2018";"Total";"Male";"94";"Estimate - de jure";"Final figure, complete";"2019";"4843";"1"
"Poland";"2018";"Total";"Male";"95";"Estimate - de jure";"Final figure, complete";"2019";"3318";"1"
"Poland";"2018";"Total";"Male";"95 - 99";"Estimate - de jure";"Final figure, complete";"2019";"7820";"1"
